Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,greenfield_flag,FOAK_flag
0,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Private,2018,2024,7,Announced & Planning,In Review,1,0,870,0.789,53.33,-117.53,Mining,Coal,No,MIN-COAL,0,0
88,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,BC,Private,2019,2024,6,In Review,In Review,1,0,1360,0.853,55.8753,-121.9153,Mining,Coal,No,MIN-COAL,1,0
94,Canagold Resources Ltd.,New Polaris Gold Mine,BC,Private,2020,2024,5,In Review,In Review,1,0,143.7,0.433,58.701,-133.64,Mining,Other,No,MIN-OTH,1,0
98,Kutcho Copper Corp.,Kutcho Creek,BC,Private,2018,2024,7,Announced & Planning,In Review,1,0,483,0.674,58.205,-128.358,Mining,Critical Mineral,Yes,MIN-CM,1,0
100,Alamos Gold Inc.,Lynn Lake (Gordon site),MB,Private,2018,2024,7,Announced & Planning,In Review,1,0,434.33,0.651,56.79,-100.82,Mining,Precious Metal,No,MIN-PM,1,0
128,Copper Fox Metals - Teck Resources Limited,Schaft Creek Porphyry Copper-Gold Mine,BC,Private,2020,2023,4,In Review,In Review,0,0,3396.414,0.929,57.364,-130.993,Mining,Precious Metal,No,MIN-PM,1,0
131,Covanta/Green Island Energy Ltd./Covanta Holding Corporation,Gold River Power Project,BC,Private,2020,2023,4,Announced & Planning,Announced & Planning,0,0,500,0.677,49.788357,-126.04969,Energy,Other,Yes,EN-OTH,1,0
177,Finavera Wind Energy Inc.,Bullmoose Wind Energy Project,BC,Private,2020,2020,1,Announced & Planning,Announced & Planning,0,0,132,0.415,55.2431,-121.4951,Energy,Clean Electricity,Yes,EN-CLEL,1,0
188,Fosthall Creek Power LP,Fosthall Creek Hydropower Project,BC,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,50,0.214,50.241332,-117.801075,Energy,Clean Electricity,Yes,EN-CLEL,1,0
205,Giga Metals Corp. & Mitsubishi Corporation,Turnagain Project,BC,Private,2020,2024,5,Announced & Planning,Announced & Planning,1,0,2461.55,0.912,58.476,-128.826,Mining,Critical Mineral,Yes,MIN-CM,1,0
213,Hurley River Hydro LP,Hurley River Hydroelectric Project,BC,Public,2020,2023,4,In Review,In Review,0,0,138,0.423,50.323327,-122.804933,Energy,Clean Electricity,Yes,EN-CLEL,1,0
214,Husky Energy,caribou lake,AB,Private,2020,2022,3,Approved,Approved,0,0,0,0,54.955037,-110.628581,Energy,Clean Electricity,Yes,EN-CLEL,1,0
245,Kitamaat Renewable Energy Corporation,Crab/Europa Hydroelectric Project,BC,Private,2018,2020,3,In Review,In Review,0,0,150,0.441,53.595765,-128.666588,Energy,Clean Electricity,Yes,EN-CLEL,1,0
256,NorthWest Copper,Lorraine-Jayjay Copper Mine,BC,Private,2020,2024,5,In Review,In Review,1,0,100,0.342,55.91667,-125.58333,Mining,Base Metal,No,MIN-BM,1,0
269,Meadow Lake Tribal Council,Biomass Generator,SK,Private,2018,2022,5,Announced & Planning,Under Construction,0,1,80,0.304,55.168966,-108.154761,Energy,Waste Biomass,Yes,EN-BIO,1,0
294,NB Power,Mactaquac Dam upgrades,NB,Public,2019,2023,5,In Review,In Review,0,0,3250,0.924,45.9544,-66.8679,Energy,Clean Electricity,Yes,EN-CLEL,0,0
309,Nomis Power Corp - Rupert Peace Power Corp,Nahwitti Wind Farm,BC,Private,2020,2023,4,Announced & Planning,Announced & Planning,0,0,400,0.634,51.013755,-127.642456,Energy,Clean Electricity,Yes,EN-CLEL,1,0
315,North American Palladium,Lac des Iles palladium mine (expansion),ON,Private,2018,2021,4,Announced & Planning,Under Construction,0,1,425,0.649,49.172269,-89.654032,Mining,Precious Metal,No,MIN-PM,0,0
340,Oceanic Iron Ore Company,Hopes Advance Iron Mine (Ungava Bay),QC,Private,2020,2022,3,In Review,Announced & Planning,0,0,1566.612,0.87,59.310061,-69.888941,Mining,Base Metal,No,MIN-BM,1,0
347,Pacific Booker Minerals Inc.,Morrison Copper Gold Project,BC,Private,2020,2020,1,In Review,In Review,0,0,517,0.694,55.194,-126.314,Mining,Precious Metal,No,MIN-PM,1,0
381,Ryan River Joint Venture Regional Power,Ryan River Hydro Project,BC,Private,2018,2023,6,In Review,Announced & Planning,0,0,273,0.56,50.3167,-122.8,Energy,Clean Electricity,Yes,EN-CLEL,1,0
382,Evolution Mining,Bateman Gold,ON,Private,2020,2024,5,Announced & Planning,Under Construction,1,1,109.3,0.369,51.116,-93.75,Mining,Precious Metal,No,MIN-PM,1,0
387,"Sea Breeze Pacific Juan de Fuca Cable, LP",Juan de Fuca Power Cable,BC,Private,2018,2023,6,In Review,Announced & Planning,0,0,480,0.67,48.433187,-123.410481,Energy,Trans & Distr,No,EN-LCF,1,0
409,SCCC Petroleum Corporation,Red Earth Pilot,AB,Private,2018,2018,1,Approved,Approved,0,0,15,0.072,56.668267,-115.311315,Energy,Other,Yes,EN-OTH,1,1
411,Callinex Mines Inc.,Nash Creek,NB,Private,2020,2020,1,Announced & Planning,Announced & Planning,0,0,168,0.463,47.87,-66.07,Mining,Other,No,MIN-OTH,1,0
413,Spanish Mountain Gold Ltd.,Spanish Mountain Copper-Gold Mines,BC,Private,2020,2024,5,In Review,In Review,1,0,756,0.762,52.592,-121.465,Mining,Precious Metal,No,MIN-PM,1,0
417,Generation Mining Ltd.,Marathon PGM Copper Mine,ON,Private,2020,2024,5,In Review,Approved,1,0,897.9,0.793,48.782,-86.319,Mining,Other,No,MIN-OTH,1,0
422,Suncor Energy Inc.,Lewis,AB,Private,2020,2024,5,In Review,Announced & Planning,1,0,6200,0.96,56.94062,-111.048346,Energy,Clean Electricity,Yes,EN-CLEL,1,0
