unique_id,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,entry_year,entry_status,last_year,last_status,reporting_years,active,graduate,dropout,success_flag,first_construction_year_success,years_to_construction_success,years_to_graduation,years_active,years_to_dropout,cleantech,cost_band
0.0,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),,AB,Announced & Planning,Mining,870.0,53.33,-117.53,Private,Coal,2018,Announced & Planning,2024,In Review,7,1,0,0,0,,,,7.0,,No,$500M-$999M
22.0,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,,MB,Announced & Planning,Mining,96.1,54.91,-100.031,Private,Critical Mineral,2021,Announced & Planning,2024,Announced & Planning,4,1,0,0,0,,,,4.0,,Yes,<$100M
88.0,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,,BC,In Review,Mining,1360.0,55.8753,-121.9153,Private,Coal,2019,In Review,2024,In Review,6,1,0,0,0,,,,6.0,,No,"$1,000M-$4,999M"
94.0,Canagold Resources Ltd.,New Polaris Gold Mine,,BC,In Review,Mining,50.0,58.701,-133.64,Private,Other,2020,In Review,2024,In Review,5,1,0,0,0,,,,5.0,,No,<$100M
98.0,Kutcho Copper Corp.,Kutcho Creek,,BC,Announced & Planning,Mining,220.7,58.205,-128.358,Private,Critical Mineral,2018,Announced & Planning,2024,In Review,7,1,0,0,0,,,,7.0,,Yes,$100M-$499M
100.0,Alamos Gold Inc.,Lynn Lake (Gordon site),,MB,Announced & Planning,Mining,434.33,56.79,-100.82,Private,Precious Metal,2018,Announced & Planning,2024,In Review,7,1,0,0,0,,,,7.0,,No,$100M-$499M
106.0,Cenovus Energy Inc./ConocoPhillips,Foster Creek,,AB,Approved,Energy,1140.0,55.0696,-110.5361,Private,Clean Electricity,2023,Approved,2023,Approved,1,0,0,1,0,,,,,1.0,Yes,"$1,000M-$4,999M"
128.0,Copper Fox Metals - Teck Resources Limited,Schaft Creek Porphyry Copper-Gold Mine,,BC,In Review,Mining,2900.0,57.364,-130.993,Private,Precious Metal,2020,In Review,2023,In Review,4,0,0,1,0,,,,,4.0,No,"$1,000M-$4,999M"
131.0,Covanta/Green Island Energy Ltd./Covanta Holding Corporation,Gold River Power Project,,BC,Announced & Planning,Energy,500.0,49.788357,-126.04969,Private,Other,2020,Announced & Planning,2023,Announced & Planning,4,0,0,1,0,,,,,4.0,Yes,$500M-$999M
138.0,Agnico Eagle Mines Limited,Detour Lake open pit expansion and underground development,,ON,Announced & Planning,Mining,88.051,50.014,-79.71,Private,Precious Metal,2021,Announced & Planning,2024,Under Construction,4,1,0,0,1,2023.0,3.0,,4.0,,No,<$100M
