unique_id,year,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,cleantech,abbreviation,planning,construction,active,graduate,dropout
0,2018,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),Yellowhead County (near Hinton),AB,Announced & Planning,Mining,870,53.33,-117.53,Private,Coal,No,MIN-COAL,1,0,1,0,0
0,2019,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),Yellowhead County (near Hinton),AB,In Review,Mining,870,53.33,-117.53,Private,Coal,No,MIN-COAL,1,0,1,0,0
0,2020,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),Yellowhead County (near Hinton),AB,In Review,Mining,870,53.33,-117.53,Private,Coal,No,MIN-COAL,1,0,1,0,0
0,2021,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),Yellowhead County (near Hinton),AB,In Review,Mining,870,53.33,-117.53,Private,Coal,No,MIN-COAL,1,0,1,0,0
0,2022,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),Yellowhead County (near Hinton),AB,In Review,Mining,780,53.33,-117.53,Private,Coal,No,MIN-COAL,1,0,1,0,0
0,2023,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),Yellowhead County (near Hinton),AB,In Review,Mining,780,53.33,-117.53,Private,Coal,No,MIN-COAL,1,0,1,0,0
0,2024,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),Yellowhead County (near Hinton),AB,In Review,Mining,780,53.33,-117.53,Private,Coal,No,MIN-COAL,1,0,1,0,0
1,2017,Premier Renewable Energy,Nicomen Wind Energy Project,Lytton,BC,In Review,Energy,188,50.212613,-121.381772,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
1,2018,Premier Renewable Energy,Nicomen Wind Energy Project,Lytton,BC,In Review,Energy,188,50.212613,-121.381772,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
1,2019,Premier Renewable Energy,Nicomen Wind Energy Project,Lytton,BC,In Review,Energy,188,50.2126,-121.3818,Private,Clean Electricity,Yes,EN-CLEL,1,0,0,0,1
2,2017,0887572 B.C. Ltd.,Campbell River Power Enterprises,Campbell River,BC,Announced & Planning,Energy,105,50.750359,-124.88205,Private,Waste Biomass,Yes,EN-BIO,1,0,1,0,0
2,2018,0887572 B.C. Ltd.,Campbell River Power Enterprises,Campbell River,BC,Announced & Planning,Energy,105,50.750359,-124.88205,Private,Waste Biomass,Yes,EN-BIO,1,0,1,0,0
2,2019,0887572 B.C. Ltd.,Campbell River Power Enterprises,Campbell River,BC,Announced & Planning,Energy,105,50.7504,-124.8821,Private,Waste Biomass,Yes,EN-BIO,1,0,1,0,0
2,2020,0887572 B.C. Ltd.,Campbell River Power Enterprises,Campbell River,BC,Announced & Planning,Energy,105,50.750359,-124.88205,Private,Waste Biomass,Yes,EN-BIO,1,0,1,0,0
2,2021,0887572 B.C. Ltd.,Campbell River Power Enterprises,Campbell River,BC,Announced & Planning,Energy,105,50.750359,-124.88205,Private,Waste Biomass,Yes,EN-BIO,1,0,1,0,0
2,2022,0887572 B.C. Ltd.,Campbell River Power Enterprises,Campbell River,BC,Announced & Planning,Energy,105,50.750359,-124.88205,Private,Waste Biomass,Yes,EN-BIO,1,0,1,0,0
2,2023,0887572 B.C. Ltd.,Campbell River Power Enterprises,Campbell River,BC,Announced & Planning,Energy,105,50.750359,-124.88205,Private,Waste Biomass,Yes,EN-BIO,1,0,0,0,1
3,2017,KGHM Ajax Mining inc.,Ajax Copper-Gold Mine,Kamloops,BC,In Review,Mining,1863,50.599801,-120.441742,Private,Precious Metal,No,MIN-PM,1,0,0,0,1
10,2017,Aeolis Wind Power Corporation,Hackney Hills Wind Park,Fort St. John,BC,In Review,Energy,216,56.249263,-120.847549,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
10,2018,Aeolis Wind Power Corporation,Hackney Hills Wind Park,Fort St. John,BC,In Review,Energy,850,56.249263,-120.847549,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
10,2019,Aeolis Wind Power Corporation,Hackney Hills Wind Park,Fort St. John,BC,In Review,Energy,400,56.249263,-120.847549,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
10,2020,Aeolis Wind Power Corporation,Hackney Hills Wind Park,Fort St. John,BC,In Review,Energy,400,56.249263,-120.847549,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
10,2021,Aeolis Wind Power Corporation,Hackney Hills Wind Park,Fort St. John,BC,In Review,Energy,400,56.249263,-120.847549,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
10,2022,Aeolis Wind Power Corporation,Hackney Hills Wind Park,Fort St. John,BC,In Review,Energy,400,56.249263,-120.847549,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
10,2024,Aeolis Wind Power Corporation,Hackney Hills Wind Park,Fort St. John,BC,In Review,Energy,400,56.249263,-120.847549,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
11,2017,Agnico-Eagle Mines Limited,Meliadine,Central Nunavut (Kivalliq region); 25 km north of Rankin Inlet,NU,Under Construction,Mining,1200,63.025,-92.215,Private,Precious Metal,No,MIN-PM,0,1,1,0,0
11,2018,Agnico-Eagle Mines Limited,Meliadine,Central Nunavut (Kivalliq region); 25 km north of Rankin Inlet,NU,Under Construction,Mining,1178,63.025,-92.215,Private,Precious Metal,No,MIN-PM,0,1,0,1,0
19,2017,Alberta Wind Energy Corp./Mainstream Renewable Power,Windy Point Wind Farm,Southern Alberta,AB,Announced & Planning,Energy,150,49.485078,-113.944028,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
