Unique ID,inventory_year,company_proponent,project_name,province,sector,company_type,group,cleantech,opening inventory flag,freshman flag,graduate flag,dropout flag,construction flag,planned flag,size_bin
0,2018,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Mining,Private,Coal,No,0,1,0,0,0,1,$500M - $999M
1,2018,Premier Renewable Energy,Nicomen Wind Energy Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,1,$100M - $499M
2,2018,0887572 B.C. Ltd.,Campbell River Power Enterprises,BC,Energy,Private,Waste Biomass,Yes,1,0,0,0,0,1,$100M - $499M
3,2018,KGHM Ajax Mining inc.,Ajax Copper-Gold Mine,BC,Mining,Private,Precious Metal,No,1,0,0,0,0,0,"$1,000M - $4,999M"
10,2018,Aeolis Wind Power Corporation,Hackney Hills Wind Park,BC,Energy,Private,Clean Electricity,Yes,1,0,0,1,0,1,$100M - $499M
11,2018,Agnico-Eagle Mines Limited,Meliadine,NU,Mining,Private,Precious Metal,No,1,0,0,0,0,0,"$1,000M - $4,999M"
19,2018,Alberta Wind Energy Corp./Mainstream Renewable Power,Windy Point Wind Farm,AB,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,1,$100M - $499M
21,2018,Champion Iron Limited,Kamistiatusset (Kami),NL,Mining,Private,Base Metal,No,1,0,0,0,0,1,"$1,000M - $4,999M"
26,2018,Alouette,Expansion d'usine (aluminium),QC,Mining,Private,Base Metal,No,1,0,0,0,0,0,"$1,000M - $4,999M"
27,2018,Alta Energy Corp.,Lower Wood River Hydropower Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,1,0,1,$100M - $499M
29,2018,AltaLink,Southern Alberta Transmission Reinforcement,AB,Energy,Private,Trans & Distr,No,1,0,0,0,0,0,$500M - $999M
36,2018,Alterra Power Corporation,Bute Inlet Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,1,"$1,000M - $4,999M"
37,2018,"Woodside, Chevron",Kitimat LNG Terminal,BC,Energy,Private,Oil & Gas - Downstream,No,1,0,0,0,0,1,"$1,000M - $4,999M"
52,2018,Brion Energy Corporation,Dover (PetroChina),AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$5,000M+"
55,2018,Paladin Energy,Michelin Uranium Project,NL,Mining,Private,Other,No,1,0,0,0,0,0,"$1,000M - $4,999M"
57,2018,Alloycorp Mining Inc,Kitsault,BC,Mining,Private,Critical Mineral,Yes,1,0,1,1,0,0,"$1,000M - $4,999M"
67,2018,BC Hydro,Peace River Site C Hydro-electric project,BC,Energy,Public,Clean Electricity,Yes,1,0,0,0,0,0,"$5,000M+"
68,2018,BC Hydro,John Hart Replacement,BC,Energy,Public,Clean Electricity,Yes,1,0,0,0,1,0,"$1,000M - $4,999M"
69,2018,BC Hydro,Ruskin Dam and Powerhouse Seismic Improvement Project,BC,Energy,Public,Clean Electricity,Yes,1,0,0,0,1,0,$500M - $999M
73,2018,BHP,Jansen Stage 1,SK,Mining,Private,Other,No,1,0,0,0,1,0,"$1,000M - $4,999M"
75,2018,IPC Canada Ltd.,Blackrod,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,1,1,"$1,000M - $4,999M"
76,2018,Blue Fuel Energy Corp.,Clean Methanol Plant,BC,Energy,Private,Low Carbon Fuels,Yes,1,0,0,0,0,1,"$1,000M - $4,999M"
89,2018,Canadian Natural Resources Limited,Grouse,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$1,000M - $4,999M"
90,2018,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining),AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$5,000M+"
91,2018,Canadian Natural Resources Ltd. (CNRL),Kirby South,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,$500M - $999M
92,2018,NorZinc,Prairie Creek,NT,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,$100M - $499M
96,2018,Canpotex Terminals Ltd.,Prince Rupert Potash Terminal Expansion,BC,Mining,Private,Other,No,1,0,1,0,0,0,$500M - $999M
98,2018,Kutcho Copper Corp.,Kutcho Creek,BC,Mining,Private,Critical Mineral,Yes,0,1,0,0,0,1,$100M - $499M
100,2018,Alamos Gold Inc.,Lynn Lake (Gordon site),MB,Mining,Private,Precious Metal,No,0,1,0,0,0,1,$100M - $499M
103,2018,Cenovus Energy,Grand Rapids (Cenovus),AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$5,000M+"
107,2018,Cenovus Energy,Narrows Lake,AB,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,1,"$1,000M - $4,999M"
109,2018,"Exxon Mobil Corp., Imperial Oil Ltd., Statoil, Chevron, Repsol, Husky",Oil and Gas Exploration,NL,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$1,000M - $4,999M"
110,2018,Chieftan Metals Corp.,Tulsequah Chief Mine,BC,Mining,Private,Precious Metal,No,1,0,0,0,0,0,$100M - $499M
