alpha,alpha_label,beta,beta_label,THETA,theta_scale,Δp_mean,Δp_median,Δp_p10,Δp_p90,ΔEV_sum,uplift_%_EV,net_new_crossers
0.25,Guidance,0.0,Off,0.0,0.05,0.017907587805315112,0.018459031378598723,0.0036037343992806905,0.029055779540297755,6496.054762309976,0.05269759918390568,20
0.25,Guidance,0.25,Light,0.0,0.05,0.017907587805315112,0.018459031378598723,0.0036037343992806905,0.029055779540297755,6496.054762309976,0.05269759918390568,20
0.25,Guidance,0.5,Medium,0.0,0.05,0.017907587805315112,0.018459031378598723,0.0036037343992806905,0.029055779540297755,6496.054762309976,0.05269759918390568,20
0.25,Guidance,0.75,Strong,0.0,0.05,0.017907587805315112,0.018459031378598723,0.0036037343992806905,0.029055779540297755,6496.054762309976,0.05269759918390568,20
0.25,Guidance,1.0,Max,0.0,0.05,0.017907587805315112,0.018459031378598723,0.0036037343992806905,0.029055779540297755,6496.054762309976,0.05269759918390568,20
0.5,Priority,0.0,Off,0.0,0.05,0.03626781124271911,0.0375614527902457,0.007845479738056318,0.0578675115626647,13116.2221398517,0.10640203052832463,48
0.5,Priority,0.25,Light,0.0,0.05,0.03626781124271911,0.0375614527902457,0.007845479738056318,0.0578675115626647,13116.2221398517,0.10640203052832463,48
0.5,Priority,0.5,Medium,0.0,0.05,0.03626781124271911,0.0375614527902457,0.007845479738056318,0.0578675115626647,13116.2221398517,0.10640203052832463,48
0.5,Priority,0.75,Strong,0.0,0.05,0.03626781124271911,0.0375614527902457,0.007845479738056318,0.0578675115626647,13116.2221398517,0.10640203052832463,48
0.5,Priority,1.0,Max,0.0,0.05,0.03626781124271911,0.0375614527902457,0.007845479738056318,0.0578675115626647,13116.2221398517,0.10640203052832463,48
0.75,Mandate,0.0,Off,0.0,0.05,0.055105981658421996,0.056886800996344467,0.01282571136338796,0.08697645346177547,19898.62135561189,0.16142252657633988,59
0.75,Mandate,0.25,Light,0.0,0.05,0.055105981658421996,0.056886800996344467,0.01282571136338796,0.08697645346177547,19898.62135561189,0.16142252657633988,59
0.75,Mandate,0.5,Medium,0.0,0.05,0.055105981658421996,0.056886800996344467,0.01282571136338796,0.08697645346177547,19898.62135561189,0.16142252657633988,59
0.75,Mandate,0.75,Strong,0.0,0.05,0.055105981658421996,0.056886800996344467,0.01282571136338796,0.08697645346177547,19898.62135561189,0.16142252657633988,59
0.75,Mandate,1.0,Max,0.0,0.05,0.055105981658421996,0.056886800996344467,0.01282571136338796,0.08697645346177547,19898.62135561189,0.16142252657633988,59
1.0,Emergency,0.0,Off,0.0,0.05,0.07444381600036971,0.07725068193734569,0.018684032509458066,0.11725874298574206,26884.14052856251,0.2180907818385135,69
1.0,Emergency,0.25,Light,0.0,0.05,0.07444381600036971,0.07725068193734569,0.018684032509458066,0.11725874298574206,26884.14052856251,0.2180907818385135,69
1.0,Emergency,0.5,Medium,0.0,0.05,0.07444381600036971,0.07725068193734569,0.018684032509458066,0.11725874298574206,26884.14052856251,0.2180907818385135,69
1.0,Emergency,0.75,Strong,0.0,0.05,0.07444381600036971,0.07725068193734569,0.018684032509458066,0.11725874298574206,26884.14052856251,0.2180907818385135,69
1.0,Emergency,1.0,Max,0.0,0.05,0.07444381600036971,0.07725068193734569,0.018684032509458066,0.11725874298574206,26884.14052856251,0.2180907818385135,69
