province,n,mean_delta_blended,sum_delta_EV,cross_over_to_favorite,cross_out_to_underdog,sum_delta_EV_disc,scenario_key
AB,83,0.054881,9754.418983,22,0,4503.896811,mpi_ind
BC,99,0.013741,1558.520022,0,0,53.784552,mpi_ind
MB,7,0.02786,54.1271,0,0,13.674902,mpi_ind
Multi,3,0.055126,235.348729,1,0,103.561292,mpi_ind
NB,4,0.0875,79.250025,1,0,19.035998,mpi_ind
NL,10,0.065397,725.047465,0,0,158.012649,mpi_ind
NS,14,0.031834,643.654469,2,0,82.07208,mpi_ind
NT,9,0.048316,128.908035,1,0,23.445405,mpi_ind
ON,43,0.027739,1703.640532,3,0,739.410645,mpi_ind
PE,3,0.053429,6.431861,0,0,3.564673,mpi_ind
QC,69,0.017389,344.390486,3,0,50.847178,mpi_ind
SK,16,0.020277,201.483891,1,0,26.734687,mpi_ind
YK,4,0.127642,612.09884,0,0,183.076432,mpi_ind
