Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,_cost_quintile_bayes,p_bayes,risk_score,years_remaining,p_cox,blended_prob,priority_index,urgency_scale_(0-1),power_ranking,value_mode,value_proxy_amount,p_source_used,annual_p_2025,annual_p_2026,annual_p_2027,annual_p_2028,annual_p_2029,EV_2025,EV_2026,EV_2027,EV_2028,EV_2029,EV_cum,EV_disc,blended_prob.1,E_FID_year,cost_basis,DevCost,PV_OUT_per_DevCost,PV_IN_per_DevCost_k,PV_MOIC_k,k_star,IRR_k,k_star_adj,years_in_pipeline,FOAK,cost_band,unique_id,EV_base,EV_disc_base,blended_overlay,delta_blended,EV_overlay,delta_EV,EV_disc_overlay,delta_EV_disc,cross_over_to_favorite,cross_out_to_underdog,scenario_key,scenario_label
0,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Private,2018,2024,7,Announced & Planning,In Review,1,0,870.0,0.789,53.33,-117.53,Mining,Coal,0,MIN-COAL,0,0,1,1,3,0.187983,0.108388,0.25,0.063609,0.125796,0.503185,0.203387,0.156833,capex,870.0,blended_prob,0.121867,0.002068,0.000861,0.000566,0.000434,106.024332,1.799301,0.749108,0.492629,0.377288,109.442659,109.442659,0.125796,2025.057423,870.0,26.1,0.160788,0.110646,0.68815,1.453172,-0.0,11.5518,,0,,0,109.442659,13.767466,0.188146,0.06235,163.68734,54.244681,20.591239,6.823773,0,0,mpo_only,MPO Cap Only
10,Aeolis Wind Power Corporation,Hackney Hills Wind Park,BC,Private,2017,2024,8,In Review,In Review,1,0,850.0,0.786,56.249263,-120.847549,Energy,Clean Electricity,1,EN-CLEL,1,0,1,1,3,0.146345,0.029808,0.25,0.017912,0.082129,0.328515,0.132512,0.102282,capex,850.0,blended_prob,0.079438,0.001384,0.000592,0.0004,0.000314,67.522514,1.176765,0.503122,0.339775,0.267232,69.809407,69.809407,0.082129,2025.061185,850.0,25.5,0.111681,0.07221,0.646568,1.546627,0.0,18.831742,,0,,1,69.809407,5.733357,0.136826,0.054697,116.301886,46.492478,9.551724,3.818367,0,0,mpo_only,MPO Cap Only
21,Champion Iron Limited,Kamistiatusset (Kami),NL,Private,2017,2024,8,Approved,In Review,1,0,3864.0,0.935,52.824,-67.027,Mining,Base Metal,0,MIN-BM,1,0,1,1,4,0.424106,0.033771,0.25,0.020269,0.222188,0.888751,0.359838,0.277248,capex,3864.0,blended_prob,0.215926,0.003456,0.001357,0.000841,0.000608,834.339769,13.352473,5.242311,3.251012,2.347969,858.533534,858.533534,0.222188,2025.050064,3864.0,115.92,0.302323,0.195578,0.646916,1.545796,0.0,6.957163,,0,,2,858.533534,190.755649,0.336016,0.113828,1298.364125,439.830591,288.480626,97.724977,0,0,mpo_only,MPO Cap Only
22,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,MB,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,96.1,0.339,54.91,-100.031,Mining,Critical Mineral,1,MIN-CM,1,0,1,1,1,0.444861,0.154107,1.0,0.089211,0.267036,0.267036,0.107566,0.203248,capex,96.1,blended_prob,0.099211,0.057795,0.043232,0.035739,0.031059,9.534161,5.554143,4.154562,3.434495,2.9848,25.662163,25.662163,0.267036,2026.406972,96.1,2.883,0.262215,0.201798,0.769591,1.299391,-0.0,4.865975,,0,,3,25.662163,6.852722,0.305956,0.03892,29.402402,3.740239,7.851501,0.998779,0,0,mpo_only,MPO Cap Only
76,Blue Fuel Energy Corp.,Clean Methanol Plant,BC,Private,2017,2024,8,Announced & Planning,Announced & Planning,1,0,2500.0,0.912,55.698147,-121.629689,Energy,Low Carbon Fuels,1,EN-LCF,1,1,1,1,4,0.023336,0.008182,0.25,0.004949,0.014143,0.056571,0.022166,0.017352,capex,2500.0,blended_prob,0.013643,0.000248,0.00011,7.8e-05,6.4e-05,34.107899,0.619537,0.276072,0.194317,0.159286,35.357111,35.357111,0.014143,2025.067646,2500.0,75.0,0.019225,0.012426,0.646368,1.547107,0.0,109.39152,,0,,4,35.357111,0.50005,0.024784,0.010642,61.961154,26.604043,0.876307,0.376257,0,0,mpo_only,MPO Cap Only
88,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,BC,Private,2019,2024,6,In Review,In Review,1,0,1360.0,0.853,55.8753,-121.9153,Mining,Coal,0,MIN-COAL,1,0,1,1,4,0.003553,0.005498,0.25,0.003328,0.00344,0.013762,0.004795,0.003982,capex,1360.0,blended_prob,0.003317,6.1e-05,2.7e-05,1.9e-05,1.6e-05,4.511711,0.082486,0.036997,0.026211,0.021626,4.679032,4.679032,0.00344,2025.068736,1360.0,40.8,0.004131,0.003023,0.731648,1.366778,-2e-06,397.265405,,0,,5,4.679032,0.016098,0.005029,0.001589,6.83965,2.160618,0.023532,0.007434,0,0,mpo_only,MPO Cap Only
89,Canadian Natural Resources Limited,Grouse,AB,Private,2017,2024,8,In Review,In Review,1,0,1530.0,0.868,55.466292,-111.755766,Energy,Oil & Gas - Upstream,0,EN-OG-U,1,0,1,1,4,0.73454,0.304628,0.25,0.168658,0.451599,1.806397,0.732189,0.563835,capex,1530.0,blended_prob,0.441514,0.006145,0.002098,0.001132,0.000711,675.515857,9.401844,3.210206,1.73136,1.087477,690.946742,690.946742,0.451599,2025.036712,1530.0,45.9,0.614929,0.398066,0.647337,1.544791,0.0,3.420712,,0,,6,690.946742,312.030981,0.593306,0.141707,907.758334,216.811592,409.942917,97.911937,1,0,mpo_only,MPO Cap Only
92,NorZinc,Prairie Creek,NT,Private,2017,2024,8,In Review,Approved,1,0,474.0,0.667,61.56,-124.794,Mining,Critical Mineral,1,MIN-CM,1,0,1,1,2,0.098223,0.110439,0.25,0.064773,0.081498,0.325992,0.131488,0.101494,capex,474.0,blended_prob,0.078826,0.001374,0.000588,0.000397,0.000312,37.363673,0.651415,0.278617,0.188232,0.1481,38.630036,38.630036,0.081498,2025.061241,474.0,14.22,0.110823,0.071655,0.646567,1.546631,0.0,18.977541,,0,,7,38.630036,3.148269,0.135837,0.054339,64.386782,25.756746,5.247392,2.099122,0,0,mpo_only,MPO Cap Only
94,Canagold Resources Ltd.,New Polaris Gold Mine,BC,Private,2020,2024,5,In Review,In Review,1,0,143.7,0.433,58.701,-133.64,Mining,Other,0,MIN-OTH,1,0,1,1,1,0.021218,0.008423,0.25,0.005095,0.013156,0.052625,0.020564,0.01612,capex,143.7,blended_prob,0.012691,0.000231,0.000103,7.2e-05,5.9e-05,1.823679,0.033145,0.014779,0.010408,0.008537,1.890549,1.890549,0.013156,2025.067746,143.7,4.311,0.014847,0.011559,0.778563,1.284417,3e-06,97.628108,,0,,8,1.890549,0.024872,0.017435,0.004279,2.50541,0.614861,0.032962,0.008089,0,0,mpo_only,MPO Cap Only
98,Kutcho Copper Corp.,Kutcho Creek,BC,Private,2018,2024,7,Announced & Planning,In Review,1,0,483.0,0.674,58.205,-128.358,Mining,Critical Mineral,1,MIN-CM,1,0,1,1,2,0.008916,0.008068,0.25,0.00488,0.006898,0.027594,0.010408,0.008302,capex,483.0,blended_prob,0.006653,0.000121,5.4e-05,3.8e-05,3.2e-05,3.213271,0.058624,0.026239,0.01855,0.015273,3.331957,3.331957,0.006898,2025.068382,483.0,14.49,0.008812,0.006061,0.687788,1.453937,3e-06,210.762503,,0,,9,3.331957,0.022985,0.011063,0.004165,5.343645,2.011688,0.036863,0.013878,0,0,mpo_only,MPO Cap Only
