Unique ID,company,project,province,group,sector,reporting_years,_cost_quintile_bayes,cost_percentile,cleantech,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,overlay_mode,p_bayes,risk_score,risk_score_adj,p_cox_engine,blended_engine,t0_orig,t0_adj,delta_t,knot_before,knot_after,knot_changed,p_cox_cond_status,p_cox_cond_overlay,delta_p_cox_cond,blended_status,blended_overlay,delta_blended,years_remaining_status,years_remaining_overlay,priority_index_status,priority_index_overlay,delta_priority_index,EV_status,EV_overlay,delta_EV
0,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Coal,Mining,7,3,0.789,No,0,0,0,1,mpo_only,0.11003506116006967,0.10838778468360935,0.10838778468360935,0.06360889015471727,0.08682197565739347,7.0,2.0,-5.0,4,2,1,0.0,0.05554985583028482,0.05554985583028482,0.055017530580034835,0.08279245849517725,0.02777492791514241,0.25,3.0,0.22007012232013934,0.027597486165059082,-0.19247263615508026,47.86525160463031,72.0294388908042,24.164187286173892
10,Aeolis Wind Power Corporation,Hackney Hills Wind Park,BC,Clean Electricity,Energy,8,3,0.786,Yes,1,0,0,1,mpo_only,0.08838234053081312,0.02980789939802619,0.02980789939802619,0.017911962526406477,0.0531471515286098,8.0,2.0,-6.0,4,2,1,0.0,0.015594691489706602,0.015594691489706602,0.04419117026540656,0.05198851601025986,0.007797345744853301,0.25,3.0,0.17676468106162624,0.017329505336753287,-0.15943517572487295,37.56249472559558,44.19023860872088,6.627743883125305
21,Champion Iron Limited,Kamistiatusset (Kami),NL,Base Metal,Mining,8,4,0.935,No,1,0,0,1,mpo_only,0.5399585826883788,0.03377117165455998,0.03377117165455998,0.02026925391162393,0.2801139183000014,8.0,2.0,-6.0,4,2,1,0.0,0.01764976853092526,0.01764976853092526,0.2699792913441894,0.27880417560965204,0.00882488426546263,0.25,3.0,1.0799171653767576,0.09293472520321734,-0.9869824401735403,1043.199981753948,1077.2993345556954,34.0993528017475
22,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,MB,Critical Mineral,Mining,4,1,0.339,Yes,1,0,0,1,mpo_only,0.45145670696158474,0.1541065638377653,0.1541065638377653,0.0892110571025716,0.2703338820320782,4.0,2.0,-2.0,4,2,1,0.04206080186356109,0.07804575290264204,0.03598495103908095,0.24675875441257292,0.2647512299321134,0.0179924755195405,1.0,3.0,0.24675875441257292,0.08825040997737114,-0.1585083444352018,23.713516299048255,25.442593196476096,1.7290768974278414
76,Blue Fuel Energy Corp.,Clean Methanol Plant,BC,Low Carbon Fuels,Energy,8,4,0.912,Yes,1,1,0,1,mpo_only,0.020677221811845503,0.008182399040993448,0.008182399040993448,0.004949193195443069,0.012813207503644286,8.0,2.0,-6.0,4,2,1,0.0,0.004305247006164081,0.004305247006164081,0.010338610905922752,0.012491234409004792,0.0021526235030820406,0.25,3.0,0.041354443623691006,0.004163744803001597,-0.037190698820689407,25.84652726480688,31.22808602251198,5.3815587577051005
88,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,BC,Coal,Mining,6,4,0.853,No,1,0,0,1,mpo_only,0.002064828467243427,0.005497878083998032,0.005497878083998032,0.003328143793318361,0.0026964861302808943,6.0,2.0,-4.0,4,2,1,0.0,0.002894807691714796,0.002894807691714796,0.0010324142336217135,0.0024798180794791116,0.0014474038458573981,0.25,3.0,0.004129656934486854,0.0008266060264930372,-0.003303050907993817,1.4040833577255303,3.3725525880915916,1.9684692303660614
89,Canadian Natural Resources Limited,Grouse,AB,Oil & Gas - Upstream,Energy,8,4,0.868,No,1,0,0,1,mpo_only,0.8121271970440334,0.30462782353914203,0.30462782353914203,0.16865813931701368,0.4903926681805235,8.0,2.0,-6.0,4,2,1,0.0,0.14839190984382067,0.14839190984382067,0.4060635985220167,0.480259553443927,0.07419595492191033,0.25,3.0,1.6242543940880667,0.16008651781464234,-1.4641678762734243,621.2773057386855,734.7971167692083,113.51981103052276
92,NorZinc,Prairie Creek,NT,Critical Mineral,Mining,8,2,0.667,Yes,1,0,0,1,mpo_only,0.11626655535801105,0.11043902161393059,0.11043902161393059,0.06477283856015248,0.09051969695908177,8.0,2.0,-6.0,4,2,1,0.0,0.05657082819990067,0.05657082819990067,0.05813327767900552,0.08641869177895586,0.02828541409995034,0.25,3.0,0.2325331107160221,0.028806230592985288,-0.2037268801230368,27.555173619848617,40.96245990322508,13.407286283376465
94,Canagold Resources Ltd.,New Polaris Gold Mine,BC,Other,Mining,5,1,0.433,No,1,0,0,1,mpo_only,0.012423810264122146,0.008423253679931263,0.008423253679931263,0.005094504444851156,0.008759157354486652,5.0,2.0,-3.0,4,2,1,0.0,0.00443169374354313,0.00443169374354313,0.006211905132061073,0.00842775200383264,0.002215846871771566,0.25,3.0,0.024847620528244293,0.002809250667944213,-0.02203836986030008,0.8926507674771762,1.2110679629507501,0.31841719547357394
98,Kutcho Copper Corp.,Kutcho Creek,BC,Critical Mineral,Mining,7,2,0.674,Yes,1,0,0,1,mpo_only,0.00519383456342403,0.0080684789467381,0.0080684789467381,0.004880456085245677,0.005037145324334854,7.0,2.0,-5.0,4,2,1,0.0,0.0042454342837578984,0.0042454342837578984,0.002596917281712015,0.004719634423590965,0.0021227171418789497,0.25,3.0,0.01038766912684806,0.0015732114745303216,-0.00881445765231774,1.2543110470669032,2.279583426594436,1.0252723795275327
