covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),lower 0.95,upper 0.95
cost_percentile,-1.015795146473751,0.3621143813538731,0.660986795529236,-2.311305459967594,0.2797151670200928,0.0991317545143965,1.3227529949977352,0.0,-1.536785837999121,0.1243457625788142,3.0075707502653413,,
FOAK_flag,-1.164797861487577,0.311985719988547,0.6476355035367932,-2.434140123529154,0.1045444005540006,0.087673102683269,1.1102046864750328,0.0,-1.7985392325258815,0.0720915972970972,3.794025075166564,,
greenfield_flag,-0.3069543110389328,0.7356842127867573,0.4501369905798741,-1.1892066006847315,0.5752979786068662,0.3044627287856094,1.7776601526973252,0.0,-0.6819131008173958,0.4952939009294086,1.0136432392149994,,
cleantech_No,0.0,1.0,,,,,,,,1.0,,,
cleantech_Yes,0.2017754359737031,1.2235732067314882,0.3442436919385899,-0.4729298021310343,0.8764806740784407,0.6231738151160906,2.40242987737262,0.0,0.586141273460715,0.5577805822865265,0.8422303834084505,,
province_AB,0.0,1.0,,,,,,,,1.0,,,
province_BC,-2.609387979934123,0.0735795621540492,0.5963799822230733,-3.778271266191984,-1.4405046936762618,0.0228621799060511,0.2368082129101191,0.0,-4.375378211400283,1.2122210934445282e-05,16.331987622716554,,
province_MB,0.0,1.0,,,,,,,,1.0,,,
province_Multi,0.0,1.0,,,,,,,,1.0,,,
province_NB,-1.232335735824322,0.2916106561403003,0.8919863461473284,-2.980596848974564,0.5159253773259196,0.0507625272592239,1.675187965727703,0.0,-1.381563452340983,0.1671057823397658,2.581166439234688,,
province_NL,-0.7108474638849601,0.4912277232577157,0.5650226448109863,-1.8182714981640604,0.3965765703941403,0.162306054925032,1.4867262728332336,0.0,-1.2580866809732123,0.2083604096257913,2.2628469164194707,,
province_NS,0.0,1.0,,,,,,,,1.0,,,
province_NT,0.0,1.0,,,,,,,,1.0,,,
province_NU,0.0,1.0,,,,,,,,1.0,,,
province_ON,0.0943478525156587,1.0989419491597183,0.4736777942519519,-0.8340435644945409,1.0227392695258584,0.4342896529026645,2.7808017058459176,0.0,0.1991814977619039,0.842120772089079,0.2479009437817451,,
province_Other,-1.094504566462936,0.3347053901532548,0.6582156403099221,-2.3845835155313537,0.1955743826054818,0.0921273411969638,1.2160092404939016,0.0,-1.6628358541398174,0.0963452974634833,3.375641938320445,,
province_PE,0.0,1.0,,,,,,,,1.0,,,
province_QC,-1.0486625210290563,0.3504060966243889,0.6183264159318068,-2.260560026945132,0.1632349848870182,0.1042920620322411,1.1773133080213007,0.0,-1.6959691418791172,0.0898917241285686,3.475667889477308,,
province_SK,-0.077390844978617,0.9255280449166214,0.7632246513091124,-1.5732836736576186,1.4185019837003845,0.2073631502703534,4.130927606039806,0.0,-0.1013998235589918,0.919233076532786,0.1214973838362417,,
province_YK,0.0,1.0,,,,,,,,1.0,,,
sector_Energy,0.0,1.0,,,,,,,,1.0,,,
sector_Forest,0.6424484981662043,1.9011300987400737,0.7637654553006321,-0.8545042868588711,2.13940128319128,0.4254940618101721,8.494350395770994,0.0,0.8411594079144686,0.4002586374479113,1.320995558932058,,
sector_Mining,-1.4205775131790843,0.2415744641673579,0.4422602941603089,-2.28739176152538,-0.5537632648327889,0.1015309336887555,0.5747826757571642,0.0,-3.212084674877367,0.0013177552990863,9.56770179107674,,
