Unique ID,company,project,province,group,sector,reporting_years,_cost_quintile_bayes,cost_percentile,cleantech,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,overlay_mode,p_bayes,risk_score,risk_score_adj,p_cox_engine,blended_engine,t0_orig,t0_adj,delta_t,knot_before,knot_after,knot_changed,p_cox_cond_status,p_cox_cond_overlay,delta_p_cox_cond,blended_status,blended_overlay,delta_blended,years_remaining_status,years_remaining_overlay,priority_index_status,priority_index_overlay,delta_priority_index,EV_status,EV_overlay,delta_EV
0,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Coal,Mining,7,3,0.789,No,0,0,1,0,indigenous_only,0.11003506116006967,0.10838778468360935,0.11922656315197029,0.06360889015471727,0.08682197565739347,7.0,6.0,-1.0,4,4,0,0.0,0.0,0.0,0.055017530580034835,0.055017530580034835,0.0,0.25,0.25,0.22007012232013934,0.22007012232013934,0.0,47.86525160463031,47.86525160463031,0.0
10,Aeolis Wind Power Corporation,Hackney Hills Wind Park,BC,Clean Electricity,Energy,8,3,0.786,Yes,1,0,1,0,indigenous_only,0.08838234053081312,0.02980789939802619,0.03278868933782881,0.017911962526406477,0.0531471515286098,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.04419117026540656,0.04419117026540656,0.0,0.25,0.25,0.17676468106162624,0.17676468106162624,0.0,37.56249472559558,37.56249472559558,0.0
21,Champion Iron Limited,Kamistiatusset (Kami),NL,Base Metal,Mining,8,4,0.935,No,1,0,1,0,indigenous_only,0.5399585826883788,0.03377117165455998,0.03714828882001598,0.02026925391162393,0.2801139183000014,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.2699792913441894,0.2699792913441894,0.0,0.25,0.25,1.0799171653767576,1.0799171653767576,0.0,1043.199981753948,1043.199981753948,0.0
22,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,MB,Critical Mineral,Mining,4,1,0.339,Yes,1,0,1,0,indigenous_only,0.45145670696158474,0.1541065638377653,0.16951722022154184,0.0892110571025716,0.2703338820320782,4.0,3.0,-1.0,4,3,1,0.04206080186356109,0.0689282581331282,0.026867456269567103,0.24675875441257292,0.2601924825473565,0.013433728134783579,1.0,2.0,0.24675875441257292,0.13009624127367825,-0.11666251313889467,23.713516299048255,25.004497572800958,1.2909812737527027
76,Blue Fuel Energy Corp.,Clean Methanol Plant,BC,Low Carbon Fuels,Energy,8,4,0.912,Yes,1,1,1,0,indigenous_only,0.020677221811845503,0.008182399040993448,0.009000638945092794,0.004949193195443069,0.012813207503644286,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.010338610905922752,0.010338610905922752,0.0,0.25,0.25,0.041354443623691006,0.041354443623691006,0.0,25.84652726480688,25.84652726480688,0.0
88,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,BC,Coal,Mining,6,4,0.853,No,1,0,1,0,indigenous_only,0.002064828467243427,0.005497878083998032,0.006047665892397836,0.003328143793318361,0.0026964861302808943,6.0,5.0,-1.0,4,4,0,0.0,0.0,0.0,0.0010324142336217135,0.0010324142336217135,0.0,0.25,0.25,0.004129656934486854,0.004129656934486854,0.0,1.4040833577255303,1.4040833577255303,0.0
89,Canadian Natural Resources Limited,Grouse,AB,Oil & Gas - Upstream,Energy,8,4,0.868,No,1,0,1,0,indigenous_only,0.8121271970440334,0.30462782353914203,0.3350906058930563,0.16865813931701368,0.4903926681805235,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.4060635985220167,0.4060635985220167,0.0,0.25,0.25,1.6242543940880667,1.6242543940880667,0.0,621.2773057386855,621.2773057386855,0.0
92,NorZinc,Prairie Creek,NT,Critical Mineral,Mining,8,2,0.667,Yes,1,0,1,0,indigenous_only,0.11626655535801105,0.11043902161393059,0.12148292377532366,0.06477283856015248,0.09051969695908177,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.05813327767900552,0.05813327767900552,0.0,0.25,0.25,0.2325331107160221,0.2325331107160221,0.0,27.555173619848617,27.555173619848617,0.0
94,Canagold Resources Ltd.,New Polaris Gold Mine,BC,Other,Mining,5,1,0.433,No,1,0,1,0,indigenous_only,0.012423810264122146,0.008423253679931263,0.00926557904792439,0.005094504444851156,0.008759157354486652,5.0,4.0,-1.0,4,4,0,0.0,0.002580273182337778,0.002580273182337778,0.006211905132061073,0.007502041723229962,0.001290136591168889,0.25,1.0,0.024847620528244293,0.007502041723229962,-0.01734557880501433,0.8926507674771762,1.0780433956281454,0.18539262815096924
98,Kutcho Copper Corp.,Kutcho Creek,BC,Critical Mineral,Mining,7,2,0.674,Yes,1,0,1,0,indigenous_only,0.00519383456342403,0.0080684789467381,0.00887532684141191,0.004880456085245677,0.005037145324334854,7.0,6.0,-1.0,4,4,0,0.0,0.0,0.0,0.002596917281712015,0.002596917281712015,0.0,0.25,0.25,0.01038766912684806,0.01038766912684806,0.0,1.2543110470669032,1.2543110470669032,0.0
