Unique ID,company,project,province,group,sector,reporting_years,_cost_quintile_bayes,cost_percentile,cleantech,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,overlay_mode,p_bayes,risk_score,risk_score_adj,p_cox_engine,blended_engine,t0_orig,t0_adj,delta_t,knot_before,knot_after,knot_changed,p_cox_cond_status,p_cox_cond_overlay,delta_p_cox_cond,blended_status,blended_overlay,delta_blended,years_remaining_status,years_remaining_overlay,priority_index_status,priority_index_overlay,delta_priority_index,EV_status,EV_overlay,delta_EV
0,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Coal,Mining,7,3,0.789,No,0,0,1,1,both(ind_then_cap),0.11003506116006967,0.10838778468360935,0.11922656315197029,0.06360889015471727,0.08682197565739347,7.0,2.0,-5.0,4,2,1,0.0,0.06093221768525359,0.06093221768525359,0.055017530580034835,0.08548363942266163,0.030466108842626793,0.25,3.0,0.22007012232013934,0.028494546474220544,-0.1915755758459188,47.86525160463031,74.37076629771562,26.50551469308531
10,Aeolis Wind Power Corporation,Hackney Hills Wind Park,BC,Clean Electricity,Energy,8,3,0.786,Yes,1,0,1,1,both(ind_then_cap),0.08838234053081312,0.02980789939802619,0.03278868933782881,0.017911962526406477,0.0531471515286098,8.0,2.0,-6.0,4,2,1,0.0,0.017140721901820255,0.017140721901820255,0.04419117026540656,0.05276153121631669,0.008570360950910128,0.25,3.0,0.17676468106162624,0.017587177072105564,-0.15917750398952069,37.56249472559558,44.847301533869185,7.284806808273608
21,Champion Iron Limited,Kamistiatusset (Kami),NL,Base Metal,Mining,8,4,0.935,No,1,0,1,1,both(ind_then_cap),0.5399585826883788,0.03377117165455998,0.03714828882001598,0.02026925391162393,0.2801139183000014,8.0,2.0,-6.0,4,2,1,0.0,0.019397520607904783,0.019397520607904783,0.2699792913441894,0.2796780516481418,0.009698760303952392,0.25,3.0,1.0799171653767576,0.09322601721604727,-0.9866911481607104,1043.199981753948,1080.67599156842,37.476009814472036
22,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,MB,Critical Mineral,Mining,4,1,0.339,Yes,1,0,1,1,both(ind_then_cap),0.45145670696158474,0.1541065638377653,0.16951722022154184,0.0892110571025716,0.2703338820320782,4.0,2.0,-2.0,4,2,1,0.04206080186356109,0.08550716696678051,0.04344636510321942,0.24675875441257292,0.26848193696418265,0.021723182551609738,1.0,3.0,0.24675875441257292,0.08949397898806088,-0.15726477542451203,23.713516299048255,25.80111414225795,2.0875978432096964
76,Blue Fuel Energy Corp.,Clean Methanol Plant,BC,Low Carbon Fuels,Energy,8,4,0.912,Yes,1,1,1,1,both(ind_then_cap),0.020677221811845503,0.008182399040993448,0.009000638945092794,0.004949193195443069,0.012813207503644286,8.0,2.0,-6.0,4,2,1,0.0,0.004734750954059286,0.004734750954059286,0.010338610905922752,0.012705986382952394,0.002367375477029643,0.25,3.0,0.041354443623691006,0.004235328794317465,-0.037119114829373544,25.84652726480688,31.764965957380987,5.918438692574107
88,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,BC,Coal,Mining,6,4,0.853,No,1,0,1,1,both(ind_then_cap),0.002064828467243427,0.005497878083998032,0.006047665892397836,0.003328143793318361,0.0026964861302808943,6.0,2.0,-4.0,4,2,1,0.0,0.0031838271649377026,0.0031838271649377026,0.0010324142336217135,0.002624327816090565,0.0015919135824688515,0.25,3.0,0.004129656934486854,0.000874775938696855,-0.003254880995789999,1.4040833577255303,3.5690858298831682,2.1650024721576377
89,Canadian Natural Resources Limited,Grouse,AB,Oil & Gas - Upstream,Energy,8,4,0.868,No,1,0,1,1,both(ind_then_cap),0.8121271970440334,0.30462782353914203,0.3350906058930563,0.16865813931701368,0.4903926681805235,8.0,2.0,-6.0,4,2,1,0.0,0.16196191384904401,0.16196191384904401,0.4060635985220167,0.4870445554465387,0.08098095692452201,0.25,3.0,1.6242543940880667,0.16234818514884622,-1.4619062089392205,621.2773057386855,745.1781698332042,123.90086409451862
92,NorZinc,Prairie Creek,NT,Critical Mineral,Mining,8,2,0.667,Yes,1,0,1,1,both(ind_then_cap),0.11626655535801105,0.11043902161393059,0.12148292377532366,0.06477283856015248,0.09051969695908177,8.0,2.0,-6.0,4,2,1,0.0,0.06204882661206912,0.06204882661206912,0.05813327767900552,0.08915769098504009,0.031024413306034566,0.25,3.0,0.2325331107160221,0.029719230328346696,-0.2028138803876754,27.555173619848617,42.260745526909005,14.705571907060389
94,Canagold Resources Ltd.,New Polaris Gold Mine,BC,Other,Mining,5,1,0.433,No,1,0,1,1,both(ind_then_cap),0.012423810264122146,0.008423253679931263,0.00926557904792439,0.005094504444851156,0.008759157354486652,5.0,2.0,-3.0,4,2,1,0.0,0.00487378148371953,0.00487378148371953,0.006211905132061073,0.00864879587392084,0.002436890741859766,0.25,3.0,0.024847620528244293,0.0028829319579736132,-0.02196468857027068,0.8926507674771762,1.2428319670824246,0.3501811996052484
98,Kutcho Copper Corp.,Kutcho Creek,BC,Critical Mineral,Mining,7,2,0.674,Yes,1,0,1,1,both(ind_then_cap),0.00519383456342403,0.0080684789467381,0.00887532684141191,0.004880456085245677,0.005037145324334854,7.0,2.0,-5.0,4,2,1,0.0,0.004668985142852189,0.004668985142852189,0.002596917281712015,0.00493140985313811,0.002334492571426095,0.25,3.0,0.01038766912684806,0.00164380328437937,-0.00874386584246869,1.2543110470669032,2.381870959065707,1.1275599119988038
