Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,_cost_quintile_bayes,p_bayes,risk_score,years_remaining,p_cox,blended_prob,priority_index,urgency_scale_(0-1),power_ranking
0,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Private,2018,2024,7,Announced & Planning,In Review,1,0,870.0,0.789,53.33,-117.53,Mining,Coal,No,MIN-COAL,3,0.12862121882312558,0.3528144912167124,0.25,0.018262601438693293,0.08447777186935267,0.33791108747741067,0.14089809927436267,0.10704590283135668
10,Aeolis Wind Power Corporation,Hackney Hills Wind Park,BC,Private,2017,2024,8,In Review,In Review,1,0,850.0,0.787,56.249263,-120.847549,Energy,Clean Electricity,Yes,EN-CLEL,3,0.10373742840453369,0.30442166614707683,0.25,0.015777536125827107,0.06855347149305105,0.2742138859722042,0.1142033269332686,0.08681341366913806
21,Champion Iron Limited,Kamistiatusset (Kami),NL,Private,2017,2024,8,Approved,In Review,1,0,3864.0,0.936,52.824,-67.027,Mining,Base Metal,No,MIN-BM,4,0.5835476260902592,0.21623922170123214,0.25,0.011233010623592832,0.3546217799035926,1.4184871196143705,0.5937552184804724,0.45027515533434453
22,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,MB,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,96.1,0.34,54.91,-100.031,Mining,Critical Mineral,Yes,MIN-CM,1,0.4955979444715685,0.48916026844467553,1.0,0.025230529344730024,0.3074509784208331,0.3074509784208331,0.1281326141739886,0.2357236327220953
76,Blue Fuel Energy Corp.,Clean Methanol Plant,BC,Private,2017,2024,8,Announced & Planning,Announced & Planning,1,0,2500.0,0.913,55.698147,-121.629689,Energy,Low Carbon Fuels,Yes,EN-LCF,4,0.02458682205185234,0.2864491914913728,0.25,0.01485301367824543,0.020693298702409574,0.0827731948096383,0.033972711668504144,0.0260050638888474
88,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,BC,Private,2019,2024,6,In Review,In Review,1,0,1360.0,0.853,55.8753,-121.9153,Mining,Coal,No,MIN-COAL,4,0.0024640960610724503,0.0966623037104579,0.25,0.005037017685261991,0.003493264710748267,0.013973058842993068,0.005139357560854813,0.0041517018507908855
89,Canadian Natural Resources Limited,Grouse,AB,Private,2017,2024,8,In Review,In Review,1,0,1530.0,0.869,55.4662918,-111.7557665,Energy,Oil & Gas - Upstream,No,EN-OG-U,4,0.8376804620975785,0.7839496467849103,0.25,0.040127101977712076,0.5186591180496319,2.0746364721985278,0.8687399458324057,0.6586914491627415
92,NorZinc,Prairie Creek,NT,Private,2017,2024,8,In Review,Approved,1,0,474.0,0.668,61.56,-124.794,Mining,Critical Mineral,Yes,MIN-CM,2,0.1357447358860926,0.23022569360807557,0.25,0.011955207980242744,0.08622892472375265,0.3449156988950106,0.14383365221408442,0.10927081571988537
94,Canagold Resources Ltd.,New Polaris Gold Mine,BC,Private,2020,2024,5,In Review,In Review,1,0,143.7,0.434,58.701,-133.64,Mining,Other,No,MIN-OTH,1,0.014796452868022367,0.1091724500576299,0.25,0.005687057289469721,0.01115269463660131,0.04461077854640524,0.017979277262287683,0.01388332768687586
98,Kutcho Copper Corp.,Kutcho Creek,BC,Private,2018,2024,7,Announced & Planning,In Review,1,0,483.0,0.675,58.205,-128.358,Mining,Critical Mineral,Yes,MIN-CM,2,0.006194389879131137,0.12891571055608336,0.25,0.006712072785868939,0.006401463041826257,0.02560585216730503,0.010014528873649838,0.007846689374555689
